scenario,supply_ratio,seed,num_tasks,num_volunteers,total_demand,method,completed_tasks,completed_urgency,completion_rate,urgency_weighted_completion,total_distance_km,distance_per_completed_task,distance_per_completed_urgency
balanced,1.0,16,10,16,16,Greedy,8,22,0.8,0.88,19.49932509356159,2.437415636695199,0.8863329587982541
balanced,1.0,16,10,16,16,Optimization,9,24,0.9,0.96,21.29080262674239,2.36564473630471,0.8871167761142663
balanced,1.0,17,10,22,22,Greedy,9,34,0.9,0.9444444444444444,21.05974027841139,2.33997114204571,0.6194041258356291
balanced,1.0,17,10,22,22,Optimization,10,36,1.0,1.0,19.4878431791453,1.94878431791453,0.5413289771984806
balanced,1.0,18,10,18,18,Greedy,9,32,0.9,0.9142857142857143,23.2837295822046,2.5870810646894,0.7276165494438938
balanced,1.0,18,10,18,18,Optimization,10,35,1.0,1.0,18.01391061299843,1.801391061299843,0.5146831603713837
balanced,1.0,19,10,16,16,Greedy,8,22,0.8,0.8461538461538461,24.84405954244071,3.105507442805089,1.129275433747305
balanced,1.0,19,10,16,16,Optimization,10,26,1.0,1.0,25.633064812769028,2.5633064812769026,0.9858871081834242
balanced,1.0,20,10,16,16,Greedy,8,21,0.8,0.9130434782608695,13.791167766508805,1.7238959708136006,0.6567222745956574
balanced,1.0,20,10,16,16,Optimization,10,23,1.0,1.0,23.323005932496404,2.3323005932496406,1.014043736195496
balanced,1.0,21,10,18,18,Greedy,9,29,0.9,0.90625,23.75476091102245,2.6394178790024947,0.819129686586981
balanced,1.0,21,10,18,18,Optimization,10,32,1.0,1.0,23.903494406136204,2.3903494406136203,0.7469842001917564
balanced,1.0,22,10,17,17,Greedy,8,29,0.8,0.90625,15.449813242939236,1.9312266553674045,0.5327521807910082
balanced,1.0,22,10,17,17,Optimization,10,32,1.0,1.0,21.853560152611237,2.1853560152611236,0.6829237547691012
balanced,1.0,23,10,20,20,Greedy,8,27,0.8,0.9310344827586207,13.43283122088196,1.679103902610245,0.4975122674400726
balanced,1.0,23,10,20,20,Optimization,10,29,1.0,1.0,22.70918905602471,2.270918905602471,0.7830754846905073
balanced,1.0,24,10,22,22,Greedy,10,30,1.0,1.0,32.71210329280367,3.271210329280367,1.0904034430934557
balanced,1.0,24,10,22,22,Optimization,10,30,1.0,1.0,27.467313436894273,2.746731343689427,0.9155771145631424
balanced,1.0,25,10,16,16,Greedy,8,29,0.8,0.90625,25.036759088183153,3.129594886022894,0.8633365202821777
balanced,1.0,25,10,16,16,Optimization,9,31,0.9,0.96875,22.29964964277064,2.477738849196738,0.719343536863569
balanced,1.0,26,10,19,19,Greedy,10,26,1.0,1.0,31.074017957816906,3.1074017957816906,1.1951545368391119
balanced,1.0,26,10,19,19,Optimization,10,26,1.0,1.0,24.84780441739571,2.484780441739571,0.9556847852844504
balanced,1.0,27,10,19,19,Greedy,8,25,0.8,0.9259259259259259,10.841829412570956,1.3552286765713695,0.4336731765028382
balanced,1.0,27,10,19,19,Optimization,10,27,1.0,1.0,17.633645619160802,1.7633645619160803,0.6530979858948446
balanced,1.0,28,10,21,21,Greedy,9,28,0.9,0.9655172413793104,23.360427171022902,2.5956030190025445,0.8343009703936751
balanced,1.0,28,10,21,21,Optimization,10,29,1.0,1.0,26.271262080956785,2.6271262080956785,0.9059055889985098
balanced,1.0,29,10,24,24,Greedy,10,36,1.0,1.0,30.734164638336015,3.0734164638336017,0.8537267955093337
balanced,1.0,29,10,24,24,Optimization,10,36,1.0,1.0,27.54096869867757,2.754096869867757,0.7650269082965991
resource_scarce,0.7,0,10,14,20,Greedy,6,27,0.6,0.7105263157894737,11.29012169904513,1.881686949840855,0.41815265552019
resource_scarce,0.7,0,10,14,20,Optimization,8,35,0.8,0.9210526315789473,24.053775079025524,3.0067218848781905,0.6872507165435864
resource_scarce,0.7,1,10,13,19,Greedy,7,30,0.7,0.8823529411764706,17.03404403199342,2.4334348617133457,0.567801467733114
resource_scarce,0.7,1,10,13,19,Optimization,7,30,0.7,0.8823529411764706,15.54037099578104,2.2200529993972915,0.5180123665260347
resource_scarce,0.7,2,10,17,24,Greedy,7,28,0.7,0.8484848484848485,25.813981111109108,3.687711587301301,0.9219278968253253
resource_scarce,0.7,2,10,17,24,Optimization,7,28,0.7,0.8484848484848485,15.041832573546731,2.1488332247923903,0.5372083061980976
resource_scarce,0.7,3,10,13,19,Greedy,6,24,0.6,0.7058823529411765,17.26878416774135,2.8781306946235587,0.7195326736558897
resource_scarce,0.7,3,10,13,19,Optimization,7,27,0.7,0.7941176470588235,13.459681695271767,1.9228116707531095,0.4985067294545099
resource_scarce,0.7,4,10,11,16,Greedy,4,18,0.4,0.6,7.351164258153674,1.8377910645384186,0.4083980143418708
resource_scarce,0.7,4,10,11,16,Optimization,7,27,0.7,0.9,13.291844372399835,1.8988349103428335,0.492290532311105
resource_scarce,0.7,5,10,10,14,Greedy,5,15,0.5,0.6521739130434783,10.469436078573848,2.0938872157147697,0.6979624052382565
resource_scarce,0.7,5,10,10,14,Optimization,7,19,0.7,0.8260869565217391,20.923004509072182,2.989000644153169,1.101210763635378
resource_scarce,0.7,6,10,13,18,Greedy,7,28,0.7,0.875,13.20920958509113,1.8870299407273043,0.4717574851818261
resource_scarce,0.7,6,10,13,18,Optimization,7,28,0.7,0.875,12.247892294472402,1.7496988992103433,0.4374247248025858
resource_scarce,0.7,7,10,11,16,Greedy,7,18,0.7,0.8181818181818182,20.32216043382571,2.903165776260816,1.1290089129903174
resource_scarce,0.7,7,10,11,16,Optimization,8,20,0.8,0.9090909090909091,17.35648440934851,2.169560551168564,0.8678242204674256
resource_scarce,0.7,8,10,17,24,Greedy,7,24,0.7,0.8571428571428571,17.019774747184883,2.431396392454983,0.7091572811327035
resource_scarce,0.7,8,10,17,24,Optimization,7,24,0.7,0.8571428571428571,16.469776342512525,2.3528251917875034,0.6862406809380218
resource_scarce,0.7,9,10,16,23,Greedy,7,17,0.7,0.85,21.495787313926105,3.070826759132301,1.2644580772897709
resource_scarce,0.7,9,10,16,23,Optimization,7,17,0.7,0.85,13.510432039785337,1.930061719969334,0.794731296457961
resource_scarce,0.7,10,10,11,16,Greedy,7,30,0.7,0.8333333333333334,14.257878223824264,2.036839746260609,0.4752626074608088
resource_scarce,0.7,10,10,11,16,Optimization,8,32,0.8,0.8888888888888888,17.06685297969834,2.1333566224622924,0.5333391556155731
resource_scarce,0.7,11,10,13,18,Greedy,7,24,0.7,0.8888888888888888,17.00927429947923,2.429896328497033,0.7087197624783013
resource_scarce,0.7,11,10,13,18,Optimization,8,25,0.8,0.9259259259259259,12.081704536161102,1.5102130670201377,0.48326818144644407
resource_scarce,0.7,12,10,17,24,Greedy,7,20,0.7,0.8695652173913043,18.45113481446524,2.635876402066463,0.9225567407232621
resource_scarce,0.7,12,10,17,24,Optimization,7,20,0.7,0.8695652173913043,13.878477576630752,1.982639653804393,0.6939238788315376
resource_scarce,0.7,13,10,14,20,Greedy,6,15,0.6,0.75,20.530172132293888,3.421695355382315,1.368678142152926
resource_scarce,0.7,13,10,14,20,Optimization,7,15,0.7,0.75,13.798049670845732,1.9711499529779617,0.9198699780563822
resource_scarce,0.7,14,10,12,17,Greedy,6,27,0.6,0.6585365853658537,20.479658450124262,3.4132764083540437,0.7585058685231209
resource_scarce,0.7,14,10,12,17,Optimization,8,33,0.8,0.8048780487804879,14.138853482451301,1.7673566853064127,0.4284501055288273
resource_scarce,0.7,15,10,13,19,Greedy,7,21,0.7,0.84,13.950938885867846,1.9929912694096923,0.6643304231365641
resource_scarce,0.7,15,10,13,19,Optimization,7,21,0.7,0.84,12.192925637368267,1.7418465196240382,0.5806155065413461
resource_scarce,0.7,16,10,11,16,Greedy,5,16,0.5,0.64,10.579086362739114,2.115817272547823,0.6611928976711946
resource_scarce,0.7,16,10,11,16,Optimization,7,20,0.7,0.8,18.12474602387517,2.589249431982167,0.9062373011937584
resource_scarce,0.7,17,10,15,22,Greedy,5,22,0.5,0.6111111111111112,12.658495548066098,2.5316991096132195,0.5753861612757317
resource_scarce,0.7,17,10,15,22,Optimization,7,28,0.7,0.7777777777777778,14.386716761921273,2.055245251703039,0.5138113129257598
resource_scarce,0.7,18,10,13,18,Greedy,7,28,0.7,0.8,19.520159643073104,2.7885942347247292,0.6971485586811823
resource_scarce,0.7,18,10,13,18,Optimization,8,30,0.8,0.8571428571428571,14.188590753838282,1.7735738442297853,0.47295302512794274
resource_scarce,0.7,19,10,11,16,Greedy,6,20,0.6,0.7692307692307693,20.356979050971724,3.3928298418286205,1.017848952548586
resource_scarce,0.7,19,10,11,16,Optimization,8,24,0.8,0.9230769230769231,20.14762616879829,2.5184532710997862,0.8394844236999287
resource_scarce,0.7,20,10,11,16,Greedy,5,15,0.5,0.6521739130434783,8.056742176700636,1.6113484353401273,0.5371161451133758
resource_scarce,0.7,20,10,11,16,Optimization,6,18,0.6,0.782608695652174,10.549222770878227,1.7582037951463712,0.5860679317154571
resource_scarce,0.7,21,10,13,18,Greedy,7,26,0.7,0.8125,20.567276899331063,2.938182414190152,0.7910491115127332
resource_scarce,0.7,21,10,13,18,Optimization,8,27,0.8,0.84375,21.275002183243416,2.659375272905427,0.7879630438238302
resource_scarce,0.7,22,10,12,17,Greedy,7,28,0.7,0.875,19.578523046912,2.7969318638445713,0.6992329659611428
resource_scarce,0.7,22,10,12,17,Optimization,7,28,0.7,0.875,19.044361571606586,2.7206230816580836,0.6801557704145209
resource_scarce,0.7,23,10,14,20,Greedy,7,26,0.7,0.896551724137931,17.230784889484795,2.461540698497828,0.6627224957494152
resource_scarce,0.7,23,10,14,20,Optimization,7,26,0.7,0.896551724137931,16.705744666729704,2.3865349523899577,0.6425286410280655
resource_scarce,0.7,24,10,15,22,Greedy,7,24,0.7,0.8,16.357287164545497,2.336755309220785,0.6815536318560623
resource_scarce,0.7,24,10,15,22,Optimization,7,24,0.7,0.8,15.598786363503006,2.228398051929001,0.6499494318126252
resource_scarce,0.7,25,10,11,16,Greedy,7,26,0.7,0.8125,18.06147111487333,2.5802101592676188,0.6946719659566666
resource_scarce,0.7,25,10,11,16,Optimization,7,29,0.7,0.90625,20.81923466426255,2.9741763806089354,0.7179046435952603
resource_scarce,0.7,26,10,13,19,Greedy,7,22,0.7,0.8461538461538461,21.517196131217013,3.0738851616024303,0.9780543696007733
resource_scarce,0.7,26,10,13,19,Optimization,8,24,0.8,0.9230769230769231,24.677449123750307,3.0846811404687884,1.0282270468229295
resource_scarce,0.7,27,10,13,19,Greedy,6,22,0.6,0.8148148148148148,11.163255961680507,1.8605426602800845,0.5074207255309321
resource_scarce,0.7,27,10,13,19,Optimization,7,24,0.7,0.8888888888888888,14.140780161831485,2.020111451690212,0.5891991734096452
resource_scarce,0.7,28,10,15,21,Greedy,6,23,0.6,0.7931034482758621,19.42165589105231,3.2369426485087183,0.8444198213501004
resource_scarce,0.7,28,10,15,21,Optimization,7,25,0.7,0.8620689655172413,20.172412072672902,2.881773153238986,0.8068964829069161
resource_scarce,0.7,29,10,17,24,Greedy,7,30,0.7,0.8333333333333334,22.0741983930682,3.1534569132954573,0.7358066131022734
resource_scarce,0.7,29,10,17,24,Optimization,7,32,0.7,0.8888888888888888,17.847638316912203,2.549662616701743,0.5577386974035063
